label,prompt,response
__label__adminpayment,i have settled my payment with my consultant.,Thank you. We will inform our Finance and your account shall be updated once verified.
__label__adminpayment,i have made my payment with my consultant.,Thank you. We will inform our Finance and your account shall be updated once verified.
__label__adminpayment,i paid my course fees already.,Thank you. We will inform our Finance and your account shall be updated once verified.
__label__adminpayment,i have paid my course fees.,Thank you. We will inform our Finance and your account shall be updated once verified.
__label__adminpayment,my course fees have been paid.,Thank you. We will inform our Finance and your account shall be updated once verified.
__label__adminpayment,course fees paid already.,Thank you. We will inform our Finance and your account shall be updated once verified.
__label__adminpayment,i paid course fees already.,Thank you. We will inform our Finance and your account shall be updated once verified.
__label__adminpayment,i have settled my fees with my consultant already.,Thank you. We will inform our Finance and your account shall be updated once verified.
__label__adminpayment,when do i have to make payment?,You have to make the payment before your 1st Flipped Class. Please contact your Sales Executive.
__label__adminpayment,when do i have to pay my course fees?,You have to make the payment before your 1st Flipped Class. Please contact your Sales Executive.
__label__adminpayment,when to make payment?,You have to make the payment before your 1st Flipped Class. Please contact your Sales Executive.
__label__adminpayment,when are course fees due?,You have to make the payment before your 1st Flipped Class. Please contact your Sales Executive.
__label__adminpayment,how do i make payment?,You have to make the payment before your 1st Flipped Class. Please contact your Sales Executive.
__label__adminpayment,how can i pay my course fees?,You have to make the payment before your 1st Flipped Class. Please contact your Sales Executive.
__label__adminpayment,what are the steps to pay my course fees?,"Payment can be made via Giro/ TT/ Cheque/ Paynow/ Paypal, credit card/NETS, cash, PSEA, SkillsFuture. For more information, you may refer to our Learner’s Handbook, available in Lithan’s website."
__label__adminpayment,is there any late payment fee?,"No. There is no late payment fee. However, your access will be removed from the course content until payment is received. This may have an effect on your course progress. Your prompt payment is highly appreciated."
__label__adminpayment,pay late got penalties?,"No. There is no late payment fee. However, your access will be removed from the course content until payment is received. This may have an effect on your course progress. Your prompt payment is highly appreciated."
__label__adminpayment,are there any penalties for late payment of course fees?,"No. There is no late payment fee. However, your access will be removed from the course content until payment is received. This may have an effect on your course progress. Your prompt payment is highly appreciated."
__label__adminpayment,are there any penalty fees?,"No. There is no late payment fee. However, your access will be removed from the course content until payment is received. This may have an effect on your course progress. Your prompt payment is highly appreciated."
__label__adminpayment,can i request for an extension of payment?,"For an extension of payment, you may have to speak with your Consultant."
__label__adminpayment,is it possible to extend due date for payment?,"For an extension of payment, you may have to speak with your Consultant."
__label__adminpayment,can i extend my payment due date?,"For an extension of payment, you may have to speak with your Consultant."
__label__adminpayment,i want to postpone my course fees date.,"For an extension of payment, you may have to speak with your Consultant."
__label__adminpayment,can i pay my school fees later?,"For an extension of payment, you may have to speak with your Consultant."
__label__adminpayment,can i pay my course fees later?,"For an extension of payment, you may have to speak with your Consultant."
__label__adminpayment,later pay course fees can?,"For an extension of payment, you may have to speak with your Consultant."
__label__adminpayment,later pay school fees can?,"For an extension of payment, you may have to speak with your Consultant."
__label__adminconsultation,i want to meet with my consultant.,Thank you. We will have your Education Consultant to contact you soon.
__label__adminconsultation,can i speak with my consultant?,Thank you. We will have your Education Consultant to contact you soon.
__label__adminconsultation,can i talk to my consultant?,Thank you. We will have your Education Consultant to contact you soon.
__label__adminconsultation,i want to arrange meeting with my consultant.,Thank you. We will have your Education Consultant to contact you soon.
__label__adminconsultation,i want a quick session with my consultant.,Thank you. We will have your Education Consultant to contact you soon.
__label__adminconsultation,i want to arrange a consultation with my consultant.,Thank you. We will have your Education Consultant to contact you soon.
__label__adminpayment,how do i pay with my skills future credits?,"For payment via SFC, you are to place you claim via SkillFuture Credit website using your NRIC and your SingPass. Link: www.myskillsfuture.sg. A copy of the module invoice is required. You may request your LA for the invoice."
__label__adminpayment,can i pay with skills future credits?,"For payment via SFC, you are to place you claim via SkillFuture Credit website using your NRIC and your SingPass. Link: www.myskillsfuture.sg. A copy of the module invoice is required. You may request your LA for the invoice."
__label__adminpayment,i want to pay with skills future credits how can i do it?,"For payment via SFC, you are to place you claim via SkillFuture Credit website using your NRIC and your SingPass. Link: www.myskillsfuture.sg. A copy of the module invoice is required. You may request your LA for the invoice."
__label__adminpayment,how do i pay with my sfc?,"For payment via SFC, you are to place you claim via SkillFuture Credit website using your NRIC and your SingPass. Link: www.myskillsfuture.sg. A copy of the module invoice is required. You may request your LA for the invoice."
__label__adminpayment,can i pay with sfc?,"For payment via SFC, you are to place you claim via SkillFuture Credit website using your NRIC and your SingPass. Link: www.myskillsfuture.sg. A copy of the module invoice is required. You may request your LA for the invoice."
__label__adminpayment,when is the deadline to submit my sfc?,SFC claim must be made before the start of class.
__label__adminpayment,when is the deadline to submit my skills future credit?,SFC claim must be made before the start of class.
__label__adminpayment,when must i submit my sfc?,SFC claim must be made before the start of class.
__label__adminpayment,when must i submit my skills future credit?,SFC claim must be made before the start of class.
__label__adminpayment,what date to submit sfc by?,SFC claim must be made before the start of class.
__label__admingeneral,no i do not need help.,"Awesome! I’ll be here if you need any assistance. Otherwise, Happy Learning!"
__label__admingeneral,don't need help.,"Awesome! I’ll be here if you need any assistance. Otherwise, Happy Learning!"
__label__admingeneral,i'm fine.,"Awesome! I’ll be here if you need any assistance. Otherwise, Happy Learning!"
__label__admingeneral,i'm alright.,"Awesome! I’ll be here if you need any assistance. Otherwise, Happy Learning!"
__label__admingeneral,i don't require assistance.,"Awesome! I’ll be here if you need any assistance. Otherwise, Happy Learning!"
__label__admingeneral,yes i need help.,How can we help you?
__label__admingeneral,i need help.,How can we help you?
__label__admingeneral,i need some assistance.,How can we help you?
__label__admingeneral,i need you to guide me.,How can we help you?
__label__admingeneral,yes i need assistance.,How can we help you?
__label__adminconsultation,yes i want to meet the mentor.,Thank you. We will have the Learning Associate to contact you soon.
__label__adminconsultation,i want to meet my mentor.,Thank you. We will have the Learning Associate to contact you soon.
__label__adminconsultation,can i arrange a meeting with my mentor?,Thank you. We will have the Learning Associate to contact you soon.
__label__adminconsultation,is it possible to meet my mentor?,Thank you. We will have the Learning Associate to contact you soon.
__label__admingeneral,how do i read the timetable?,Here is how you read your timetable.
__label__admingeneral,can you teach me how to read the timetable?,Here is how you read your timetable.
__label__admingeneral,i want to learn how to read the timetable.,Here is how you read your timetable.
__label__admingeneral,how to read the timetable?,Here is how you read your timetable.
__label__admingeneral,can i ask how to read the timetable?,Here is how you read your timetable.
__label__admingeneral,how to interpret the timetable?,Here is how you read your timetable.
__label__admingeneral,how does the attendance system work?,Here is how we take attendance.
__label__admingeneral,how is my attendance recorded?,Here is how we take attendance.
__label__admingeneral,how do we take attendance?,Here is how we take attendance.
__label__admingeneral,how does the attendance work?,Here is how we take attendance.
__label__adminconsultation,when can i contact my mentor?,You can contact your mentor through email between 9 am to 7pm.
__label__adminconsultation,when is my mentor free?,You can contact your mentor through email between 9 am to 7pm.
__label__adminconsultation,what time is my mentor available?,You can contact your mentor through email between 9 am to 7pm.
__label__adminconsultation,when is my mentor available?,You can contact your mentor through email between 9 am to 7pm.
__label__adminconsultation,is my mentor available now?,You can contact your mentor through email between 9 am to 7pm.
__label__adminconsultation,how do i contact my mentor for online support?,You can contact your mentor through email between 9 am to 7pm.
__label__adminconsultation,how do i approach my mentor online?,You can contact your mentor through email between 9 am to 7pm.
__label__adminconsultation,where can i approach my mentor online?,You can contact your mentor through email between 9 am to 7pm.
__label__adminconsultation,how do i approach my mentor for online help?,You can contact your mentor through email between 9 am to 7pm.
__label__adminconsultation,i need online help from my mentor.,You can contact your mentor through email between 9 am to 7pm.
__label__adminconsultation,what is my mentor's email address?,"You can contact your mentor through the following channels:
Email: sm_mentor@lithan.com
Phone: 6324 9730"
__label__adminconsultation,email address for mentor.,"You can contact your mentor through the following channels:
Email: sm_mentor@lithan.com
Phone: 6324 9731"
__label__adminconsultation,mentor's email address.,"You can contact your mentor through the following channels:
Email: sm_mentor@lithan.com
Phone: 6324 9732"
__label__progress,i am having an issue in accessing the e-content in lms.,"Thank you. We will have your Learning Associate to contact you soon. 
Alternatively, you may email your Learning Associate to have them investigate this matter. Your Learning Associate (sm_LA@lithan.com)"
__label__progress,i have issues accessing e-content in lms.,"Thank you. We will have your Learning Associate to contact you soon. 
Alternatively, you may email your Learning Associate to have them investigate this matter. Your Learning Associate (sm_LA@lithan.com)"
__label__progress,i have issues accessing the content in lms.,"Thank you. We will have your Learning Associate to contact you soon. 
Alternatively, you may email your Learning Associate to have them investigate this matter. Your Learning Associate (sm_LA@lithan.com)"
__label__progress,i have problems accessing the content in lms.,"Thank you. We will have your Learning Associate to contact you soon. 
Alternatively, you may email your Learning Associate to have them investigate this matter. Your Learning Associate (sm_LA@lithan.com)"
